# Locations:
# name	x_meters	y_meters	theta

start	775.0	38.0	6.056
hum1_start	775.0	38.0	6.056

D1	738.0	537.0	4.712

D2	640.0	537.0	4.712

D3	592.0	537.0	4.712
aut3_start	592.0	537.0	4.712

D4	543.0	537.0	4.712

OP1	543.0	104.0	1.571
aut3_finish	543.0	104.0	1.571

D5	494.0	537.0	4.712

D6	396.0	453.0	4.712

D7	346.0	537.0	4.712
aut2_start	346.0	537.0	4.712

D8	296.0	447.0	4.712
aut1_start	296.0	447.0	4.712

OP2	296.0	176.0	1.571
aut1_finish	296.0	176.0	1.571
aut2_finish	296.0	176.0	1.571

D9	246.0	436.0	4.712

D10	62.0	264.0	0.0

D11	117.0	313.0	0.0

D12	148.0	363.0	0.0

finish	196.0	401.0	4.712
hum1_finish	196.0	401.0	4.712
